总数	26
内容	apple
长度	5
使用次数	7
正确次数	7

内容	hello
长度	5
使用次数	6
正确次数	5

内容	array
长度	5
使用次数	6
正确次数	6

内容	ambitious
长度	9
使用次数	6
正确次数	6

内容	alliance
长度	8
使用次数	5
正确次数	4

内容	table
长度	5
使用次数	5
正确次数	4

内容	bound
长度	5
使用次数	1
正确次数	1

内容	capture
长度	7
使用次数	3
正确次数	2

内容	brisk
长度	5
使用次数	3
正确次数	2

内容	chew
长度	4
使用次数	2
正确次数	2

内容	expire
长度	6
使用次数	3
正确次数	3

内容	hospital
长度	8
使用次数	3
正确次数	1

内容	immerse
长度	7
使用次数	2
正确次数	2

内容	overflow
长度	8
使用次数	2
正确次数	2

内容	refer
长度	5
使用次数	1
正确次数	1

内容	rejoice
长度	7
使用次数	4
正确次数	3

内容	regard
长度	6
使用次数	3
正确次数	3

内容	seek
长度	4
使用次数	4
正确次数	4

内容	secure
长度	6
使用次数	5
正确次数	4

内容	score
长度	5
使用次数	6
正确次数	6

内容	play
长度	4
使用次数	6
正确次数	6

内容	playgame
长度	8
使用次数	6
正确次数	5

内容	style
长度	5
使用次数	5
正确次数	5

内容	haha
长度	4
使用次数	0
正确次数	0

内容	xixi
长度	4
使用次数	0
正确次数	0

内容	yy
长度	2
使用次数	0
正确次数	0

